time,cpu %,mem %
09:01:02,17.0,4.3
09:01:03,62.0,3.8
09:01:04,15.0,3.8
09:01:05,12.0,3.8
09:01:06,15.8,3.8
09:01:07,14.0,3.8
09:01:08,13.0,3.8
09:01:09,11.0,3.8
09:01:10,13.0,3.8
09:01:11,16.0,3.8
09:01:12,10.0,3.8
09:01:13,10.9,3.8
09:01:14,15.0,3.8
09:01:15,17.0,3.8
09:01:16,14.0,3.8
09:01:17,15.0,3.8
09:01:18,13.0,3.8
09:01:19,13.0,3.8
09:01:20,11.0,3.8
09:01:21,8.9,3.8
09:01:22,13.0,3.8
09:01:23,14.0,3.8
09:01:24,17.0,3.8
09:01:25,10.0,3.8
09:01:26,9.0,3.8
09:01:27,13.9,3.8
09:01:28,8.0,3.8
09:01:29,12.0,3.8
09:01:30,10.0,3.8
09:01:31,15.0,3.9
09:01:32,12.0,3.9
09:01:33,12.0,3.9
09:01:34,77.2,3.9
09:01:35,8.0,3.9
09:01:36,14.0,3.9
09:01:37,12.0,3.9
09:01:38,11.0,3.9
09:01:39,20.0,3.9
09:01:40,14.0,3.9
09:01:41,11.9,3.9
09:01:42,15.0,3.9
09:01:43,15.0,3.9
09:01:44,14.0,3.9
09:01:45,9.0,3.9
09:01:46,14.0,3.9
09:01:47,16.8,4.0
09:01:48,15.0,4.0
09:01:49,16.0,4.0
09:01:50,18.0,4.0
09:01:51,15.0,4.0
09:01:52,14.0,4.0
09:01:53,11.0,4.0
09:01:54,15.8,4.0
09:01:55,11.0,4.0
09:01:56,15.0,4.0
09:01:57,14.0,4.0
09:01:58,18.0,4.1
09:01:59,16.0,4.1
09:02:00,12.9,4.1
09:02:01,18.0,4.1
09:02:02,18.0,4.1
09:02:03,11.0,4.1
09:02:04,14.0,4.1
09:02:05,65.0,4.1
09:02:06,18.0,4.1
09:02:07,11.9,4.1
09:02:08,15.0,4.1
09:02:09,16.0,4.1
09:02:10,11.0,4.1
09:02:11,19.0,4.1
09:02:12,15.0,4.1
09:02:13,17.8,4.2
09:02:14,16.0,4.2
09:02:15,14.0,4.2
09:02:16,15.0,4.2
09:02:17,14.0,4.2
09:02:18,17.0,4.2
09:02:19,16.8,4.2
09:02:20,14.0,4.2
09:02:21,16.0,4.2
09:02:22,18.0,4.3
09:02:23,19.0,4.3
09:02:24,18.0,4.3
09:02:25,10.9,4.3
09:02:26,17.0,4.3
09:02:27,12.0,4.3
09:02:28,14.0,4.3
09:02:29,17.0,4.3
09:02:30,14.0,4.3
09:02:31,12.0,4.3
09:02:32,15.8,4.3
09:02:33,18.0,4.4
09:02:34,13.0,4.4
09:02:35,13.0,4.4
09:02:36,11.0,4.4
09:02:37,11.0,4.4
09:02:38,9.9,4.4
09:02:39,11.0,4.4
09:02:40,10.0,4.4
09:02:41,72.0,4.4
09:02:42,2.0,4.4
09:02:43,1.0,4.4
09:02:44,3.0,4.4
09:02:45,2.0,4.4
09:02:46,5.0,4.4
09:02:47,10.0,4.4
09:02:48,13.0,4.4
09:02:49,12.0,4.4
09:02:50,12.0,4.4
09:02:51,12.0,4.4
09:02:52,12.9,4.4
09:02:53,11.0,4.5
09:02:54,10.0,4.5
09:02:55,14.0,4.5
09:02:56,14.0,4.5
09:02:57,19.0,4.5
09:02:58,22.0,4.5
09:02:59,17.8,4.5
09:03:00,16.0,4.5
09:03:01,19.0,4.6
09:03:02,17.0,4.6
09:03:03,18.0,4.6
09:03:04,19.0,4.6
09:03:05,17.8,4.6
09:03:06,18.0,4.6
09:03:07,14.0,4.6
09:03:08,14.0,4.6
09:03:09,13.0,4.6
09:03:10,13.0,4.6
09:03:11,9.9,4.6
09:03:12,12.0,4.6
09:03:13,10.0,4.6
09:03:14,9.0,4.6
09:03:15,13.0,4.6
09:03:16,14.0,4.7
09:03:17,9.9,4.7
09:03:18,12.0,4.7
09:03:19,12.0,4.7
09:03:20,9.0,4.7
09:03:21,9.0,4.7
09:03:22,10.0,4.7
09:03:23,65.0,3.9
09:03:24,10.0,3.9
09:03:25,11.9,3.9
09:03:26,9.0,3.9
09:03:27,8.0,3.9
09:03:28,11.0,3.9
09:03:29,12.0,3.9
09:03:30,14.0,3.9
09:03:31,11.0,3.9
09:03:32,14.9,3.9
09:03:33,9.0,3.9
09:03:34,18.0,3.9
09:03:35,13.0,3.9
09:03:36,15.0,3.9
